,id,alliance_position,nation_name,num_cities,score,soldiers,tanks,aircraft,ships
0,11408,MEMBER,Ares,40,8397.65,594000,44364,2126,0
1,15108,MEMBER,Eternitys End,36,6548.38,271455,20418,1409,36
2,47241,HEIR,Empire,33,6187.81,495000,37314,2460,0
3,146957,LEADER,Smokers,41,7583.91,594539,47372,3030,0
4,159156,LEADER,Beets Motel,40,8380.9,591000,41110,2940,585
5,167767,HEIR,Ruination,38,6253.03,340872,29262,2399,0
6,265146,HEIR,The Scourge,15,1795.2,136619,2406,0,0
7,370301,MEMBER,Avstralis,4,414.51,59078,0,0,0
8,370656,OFFICER,Sherwood Forest,4,568.94,60000,5000,0,0
9,374180,MEMBER,Imperium of Japan,11,1559.8,161997,0,0,0
10,413397,MEMBER,Zenzeka,6,723.07,90000,0,28,4
11,415397,MEMBER,Oligarchy of Varanidae,5,507.99,35834,0,21,0
